species_value,species_display
unknown,unknown
other,other (describe in &#39;Notes&#39;)
blackbird sp.,blackbird sp.
finch sp.,finch sp.
flycatcher sp.,flycatcher sp.
gull sp.,gull sp.
hawk sp.,hawk sp.
hummingbird sp.,hummingbird sp.
kinglet sp.,kinglet sp.
meadowlark sp.,meadowlark sp.
oriole sp.,oriole sp.
owl sp.,owl sp.
shorebird sp.,shorebird sp.
sparrow sp.,sparrow sp.
thrush sp.,thrush sp.
vireo sp.,vireo sp.
warbler sp.,warbler sp.
woodpecker sp.,woodpecker sp.
wren sp.,wren sp.
Acadian Flycatcher,Acadian Flycatcher
Alder Flycatcher,Alder Flycatcher
American Avocet,American Avocet
American Coot,American Coot
American Crow,American Crow
American Goldfinch,American Goldfinch
American Kestrel,American Kestrel
American Pipit,American Pipit
American Redstart,American Redstart
American Robin,American Robin
American Woodcock,American Woodcock
Ash-Throated Flycatcher,Ash-Throated Flycatcher
Bald Eagle,Bald Eagle
Baltimore Oriole,Baltimore Oriole
Bank Swallow,Bank Swallow
Barn Swallow,Barn Swallow
Barred Owl,Barred Owl
Bay-breasted Warbler,Bay-breasted Warbler
Bells Vireo,Bell&#39s Vireo
Belted Kingfisher,Belted Kingfisher
Bewicks Wren,Bewick&#39s Wren
Black Vulture,Black Vulture
Black-and-white Warbler,Black-and-white Warbler
Blackburnian Warbler,Blackburnian Warbler
Black-chinned Hummingbird,Black-chinned Hummingbird
Black-crested Titmouse,Black-crested Titmouse
Blackpoll Warbler,Blackpoll Warbler
Black-throated Blue Warbler,Black-throated Blue Warbler
Black-throated Green Warbler,Black-throated Green Warbler
Blue Grosbeak,Blue Grosbeak
Blue Jay,Blue Jay
Blue-gray Gnatcatcher,Blue-gray Gnatcatcher
Blue-headed Vireo,Blue-headed Vireo
Blue-winged Warbler,Blue-winged Warbler
Bobolink,Bobolink
Brewers Blackbird,Brewer&#39s Blackbird
Broad-winged Hawk,Broad-winged Hawk
Brown Creeper,Brown Creeper
Brown Thrasher,Brown Thrasher
Brown-headed Cowbird,Brown-headed Cowbird
Bullocks Oriole,Bullock&#39s Oriole
Cactus Wren,Cactus Wren
Canada Warbler,Canada Warbler
Canyon Towhee,Canyon Towhee
Canyon Wren,Canyon Wren
Cape May Warbler,Cape May Warbler
Carolina Chickadee,Carolina Chickadee
Carolina Wren,Carolina Wren
Cave Swallow,Cave Swallow
